image,summary_wikipedia,eventLabel,date,event,label,article,participants,article_en
http://commons.wikimedia.org/wiki/Special:FilePath/Tomba%20dels%20guerrillers%20caiguts%20a%20la%20invasi%C3%B3%20de%20la%20Vall%20d%27Aran%2C%20Vielha%201944.JPG,"The Invasion of Val d'Aran, known under the code name Operación Reconquista de España (""Operation Reconquest of Spain""), was a military operation launched in October 1944 by the Unión Nacional Española (antifrancoist) (es) (UNE). In October 1944, with the Spanish Civil War over and the Axis powers in World War II in retreat, guerrilla fighters loyal to the Republic tried to conquer Val d'Aran in Catalonia and establish a provisional Republican government presided over by Juan Negrín in order to later overthrow the dictatorship of Francisco Franco. The invasion, led by communist militant and French resistance member Vicente López Tovar, managed to overrun a number of Civil Guard outposts and take over several hamlets in the high areas of Arán, but was eventually repelled by the Francoist army, led by General José Moscardó, the defender of the Alcázar during the civil war. 
Moscardó established his headquarters at Vielha, the main administrative center of the valley, and, supported by heavy artillery, made impossible to the insurgents to advance through the Port de la Bonaigua and then into the lower lands. The guerrillas were also beaten off at Salardú, where they suffered a number of casualties.According to historian Geneviève Dreyfus-Armand, the UNE was a ""structure of a large alliance, (which) united not only Communists, but also Spaniards of different political alignments – Socialists, Republicans or Anarchists – who the dispersion of their organizations and the silence of their leaders pushed into joining the only fighting structure organised against Nazism"".",Invasion of Val d'Aran,1944-10-24T00:00:00Z,http://www.wikidata.org/entity/Q2748786,,,,https://en.wikipedia.org/wiki/Invasion_of_Val_d'Aran
http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9F%D1%80%D0%B8%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BA%20%D0%BF%D1%80%D0%B8%D1%81%D1%8F%D0%B3%D0%B5%20%D0%BD%D0%B0%20%D0%B2%D0%B5%D1%80%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8%20%D0%93%D0%B0%D1%81%D0%B8%D0%BC%20%D1%85%D0%B0%D0%BD%D0%B0%20%D0%B3%D1%80%D0%B0%D1%84%D0%BE%D0%BC%20%D0%97%D1%83%D0%B1%D0%BE%D0%B2%D0%B2%D1%8B%D0%BC.jpg,"The Persian expedition of Catherine the Great in 1796, like the Persian expedition of Peter the Great (1722-1723), was one of the Russo-Persian Wars of the 18th century which did not entail any lasting consequences for either belligerent.
The last decades of the 18th century were marked by continual strife between rival claimants to the Peacock Throne. Empress Catherine the Great of Russia (r. 1762–1796) took advantage of the disorder to consolidate her control over the weak polities of the Caucasus, which was, for swaths of it, an integral Persian domain. The kingdom of Georgia, a subject of the Persians for many centuries, became a Russian protectorate in 1783, when King Erekle II signed the Treaty of Georgievsk, whereby the Empress promised to defend him in the case of  Iranian attack. The shamkhals of Tarki followed this lead and accepted Russian protection three years later.
With the enthronement of Agha Mohammad Khan as Shah of Persia in 1794 the political climate changed. He put an end to the period of dynastic strife and proceeded to re-strengthen the Persian hold on the Caucasus by re-garrisoning the Iranian territories and cities in the area of modern-day Dagestan, Azerbaijan, and Armenia, as well as ravaging and recapturing Georgia and reducing its capital Tbilisi to a pile of ashes in 1795. Belatedly, the Empress Catherine determined to mount a punitive expedition against the Shah. The ultimate goal for the Russian government involved toppling the anti-Russian shah and replacing him with a half-brother of Agha Mohammad Khan, namely  Morteza Qoli Khan, who had defected to Russia, and was therefore pro-Russian.Although it was widely expected that a 50,000-strong Russian corps would be led by a seasoned general (Gudovich), the Empress followed the advice of her lover, Prince Platon Zubov, and entrusted the command to Zubov's youthful brother, Count Valerian Zubov. The Russian troops set out from Kizlyar in April 1796 and stormed the key fortress of Derbent on 10 May. The  Russian court poet Derzhavin glorified this event in a famous ode; he would later comment bitterly on Valerian Zubov's inglorious return from the expedition in another remarkable poem.
By mid-June Zubov's troops had overrun—without any resistance—most of the territory of modern-day Azerbaijan, including three principal cities—Baku, Shemakha and Ganja. By November they were stationed at the confluence of the Araks and Kura Rivers, poised to attack mainland Iran.
In that month the Empress of Russia died. Her successor, the Emperor Paul, who detested the Zubovs and had other plans for the army, ordered the troops to retreat back to Russia. This reversal aroused the frustration and enmity of the powerful Zubovs and other officers who took part in the campaign: many of them would join the conspiracy which arranged Paul's assassination five years later.",Persian Expedition of 1796,1796-11-01T00:00:00Z,http://www.wikidata.org/entity/Q525097,,,"['Qajar dynasty', ' Russian Empire']",https://en.wikipedia.org/wiki/Persian_expedition_of_1796
http://commons.wikimedia.org/wiki/Special:FilePath/%E5%A5%A5%E5%B7%9E%E9%AB%98%E9%A4%A8%E5%A4%A7%E5%90%88%E6%88%A6.jpg,"The Battle of Ōshū (奥州合戦, Ōshū-kassen) was a major battle between the Kamakura government and the Northern Fujiwara that took place in the Tōhoku region of Japan from September 1 to October 14, 1189. It resulted in the downfall of the Northern Fujiwara and the completion of Minamoto no Yoritomo's nationwide domination through the annexation of Mutsu and Dewa Province by the Kamakura shogunate. It was the last battle of the period of civil war known as the Jishō-Juei War that began in 1180, and its end marked the establishment of the first military government, the Kamakura shogunate.",Battle of Ōshū,1189-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11445749,,,"['Minamoto no Yoritomo', ' Fujiwara no Yasuhira']",https://en.wikipedia.org/wiki/Battle_of_Ōshū
http://commons.wikimedia.org/wiki/Special:FilePath/Kargil%20war.jpg,"The Kargil War, also known as the Kargil conflict,[note (I)] was fought between India and Pakistan from May to July 1999 in the Kargil district of Jammu and Kashmir and elsewhere along the Line of Control (LoC). In India, the conflict is also referred to as Operation Vijay (Hindi: विजय, lit. 'Victory'), which was the codename of the Indian military operation in the region. The Indian Air Force acted jointly with the Indian Army to flush out the Pakistan Army and paramilitary troops from vacated Indian positions along the LoC, in what was designated as Operation Safed Sagar (ऑपरेशन सफेद सागर, lit. 'White Sea').
The conflict was triggered by the infiltration of Pakistani troops—disguised as Kashmiri militants—into strategic positions on the Indian side of the LoC, which serves as the de facto border between the two countries in the disputed region of Kashmir. During its initial stages, Pakistan blamed the fighting entirely on independent Kashmiri insurgents, but documents left behind by casualties and later statements by Pakistan's Prime Minister and Chief of Army Staff showed the involvement of Pakistani paramilitary forces, led by General Ashraf Rashid. The Indian Army, later supported by the Indian Air Force, recaptured a majority of the positions on the Indian side of the LoC; facing international diplomatic opposition, Pakistani forces withdrew from all remaining Indian positions along the LoC.
The Kargil War is the most recent example of high-altitude warfare in mountainous terrain, and as such, posed significant logistical problems for the combatting sides. It also marks one of only two instances of conventional warfare between nuclear-armed states (alongside the Sino-Soviet border conflict). India had conducted its first successful test in 1974; Pakistan, which had been developing its nuclear capability in secret since around the same time, conducted its first known tests in 1998, just two weeks after a second series of tests by India.",Kargil War,1999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q404517,,,"['India', ' Pakistan']",https://en.wikipedia.org/wiki/Kargil_War
http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Joshua%20Reynolds%20-%20John%20Murray%2C%204th%20Earl%20of%20Dunmore%20-%20Google%20Art%20Project.jpg,"Lord Dunmore's War, also known as Dunmore's War, was a brief conflict in fall 1774 between the British Colony of Virginia and the Shawnee and Mingo in the trans-Appalachian region of the colony south of the Ohio River. Broadly, the war included events between May and October 1774. The governor of Virginia during the conflict was John Murray, 4th Earl of Dunmore, who in May 1774, asked the House of Burgesses to declare a state of war with the Indians and call out the Virginia militia.
The conflict resulted from escalating violence between white settlers, who, in accordance with previous treaties, especially the Treaty of Fort Stanwix (1768), were exploring and moving into land south of the Ohio River (modern West Virginia, southwestern Pennsylvania, and Kentucky), and the Ohio Country Shawnee who had historical hunting rights in the south of Ohio lands of the Iroquois Confederacy.  Resulting cross-river attacks by the Shawnee caused war to be declared ""to pacify the hostile Indian war bands"".  The war ended soon after Virginia's victory in the Battle of Point Pleasant on October 10, 1774. In the ensuing Treaty of Camp Charlotte, the Native Americans surrendered their hunting rights south of the Ohio, and agreed to cease attacks upon travelers on the river and recognize the river, running nearly north–south at its eastern end, as the boundary between Indian lands of Ohio Country to the west, and the Colonies to the east. This was a major resetting of the Appalachian boundary defined by the Royal Proclamation of 1763 which ended the French and Indian War.
Although the Indian national chieftains signed the treaty, conflict within the Indian nations soon broke out. Some tribesmen felt the treaty sold out their claims and opposed it, and others believed that another war would mean only further losses of territory to the settlers. When the American Revolutionary War broke out between the American settlers and the British in 1776, the war parties of the Indian nations quickly gained power. They mobilized the various Indian nations to ally with the British during the war, initiating the Cherokee-American wars that lasted nearly two decades.",Dunmore's War,1774-10-01T00:00:00Z,http://www.wikidata.org/entity/Q2632175,,,"['Shawnee', ' Colony of Virginia', ' Mingo']",https://en.wikipedia.org/wiki/Lord_Dunmore's_War
http://commons.wikimedia.org/wiki/Special:FilePath/Episode%20of%20the%20French%20intervention%20in%20Spain%201823.PNG,"The ""Hundred Thousand Sons of Saint Louis"" was the popular name for a French army mobilized in 1823 by the Bourbon King of France, Louis XVIII, to help the Spanish Bourbon royalists restore King Ferdinand VII of Spain to the absolute power of which he had been deprived during the Liberal Triennium. Despite the name, the actual number of troops was around 60,000.A minor campaign, the force comprised some five army corps (the bulk of the French regular army) and was led by the Duke of Angoulême, nephew of Louis XVIII and son of future King Charles X. The French name of the conflict is l'Expédition d'Espagne (""the Expedition of Spain"").",Hundred Thousand Sons of Saint Louis,1823-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1450594,,,['Bourbon Restoration in France'],https://en.wikipedia.org/wiki/Hundred_Thousand_Sons_of_Saint_Louis
http://commons.wikimedia.org/wiki/Special:FilePath/TaiwanShuppei.jpg,"The Japanese punitive expedition to Taiwan in 1874, referred to in Japan as the Taiwan Expedition (Japanese: 台湾出兵, Hepburn: Taiwan Shuppei) and in Taiwan and Mainland China as the Mudan incident (Chinese: 牡丹社事件), was a punitive expedition launched by the Japanese ostensibly in retaliation for the murder of 54 Ryukyuan sailors by Paiwan aborigines near the southwestern tip of Taiwan in December 1871. In May 1874, the Imperial Japanese Army and Imperial Japanese Navy attacked the indigenous Taiwanese peoples in southern Taiwan and retreated in December after the Qing dynasty agreed to pay an indemnity of 500,000 taels. Some ambiguous wording in the agreed terms were later argued by Japan to be confirmation of Chinese renunciation of suzerainty over the Ryukyu Islands, paving the way for de facto Japanese incorporation of the Ryukyu in 1879.",Japanese invasion of Taiwan,1874-05-01T00:00:00Z,http://www.wikidata.org/entity/Q703942,,,"['Taiwanese indigenous peoples', ' Empire of Japan', ' Qing dynasty']",https://en.wikipedia.org/wiki/Japanese_invasion_of_Taiwan_(1874)
http://commons.wikimedia.org/wiki/Special:FilePath/Chan%20Santa%20Cruz%20Maya.gif,"The Caste War of Yucatán or ba'atabil kichkelem Yúum (1847–1915) began with the revolt of native Maya people of the Yucatán Peninsula against Hispanic populations, called Yucatecos. The latter had long held political and economic control of the region. A lengthy war ensued between the Yucateco forces based in the northwest of the Yucatán and the independent Maya in the southeast.The Caste War took place within the economic and political context of late colonial and post-independence Yucatán. By the end of the eighteenth century, Yucatán's population had expanded considerably, and white and mestizo Mexicans migrated to rural towns. Economic opportunities, primarily in the production of henequen and sugar cane, attracted investment and encroachment onto indigenous customary lands in the south and east of the peninsula. Shortly after the Mexican War of Independence in 1821, the Yucatecan congress passed a series of laws that facilitated and encouraged this process. By the 1840s, land alienation had increased precipitously, forcing much of the Maya peasantry to work as indebted laborers on large estates (haciendas). This had a dramatic effect on the Maya and precipitated the war.In the 1850s, the United Kingdom recognized the Maya state because of the value of its trade with British Honduras (present-day Belize) and provided arms to the rebels at the beginning of the insurgency. By 1867, the Maya occupied parts of the western part of the Yucatán, including the District of Petén, where the Xloschá and Macanché tribes allied with them. Growing investment in Mexico resulted in a change in United Kingdom policy, and in 1893 London signed a new treaty with the Mexican government, recognizing its control of all of the Yucatán, formalizing the border with British Honduras, and closing the British colony to trade with Chan Santa Cruz, the capital of the Maya.
The war unofficially ended in 1901 when the Mexican army occupied Chan Santa Cruz and subdued neighboring areas. Another formal end came in 1915 when Mexican forces led by Yucatán Governor Salvador Alvarado subdued the territory. Alvarado introduced reforms from the Mexican Revolution that ended some Maya grievances. Skirmishes with small settlements that rejected Mexican control continued until 1933.",Caste War of Yucatán,1847-01-01T00:00:00Z,http://www.wikidata.org/entity/Q772814,,,"['Mexico', ' Republic of Yucatán', ' Chan Santa Cruz', ' United Kingdom of Great Britain and Ireland', ' British Honduras']",https://en.wikipedia.org/wiki/Caste_War_of_Yucatán
http://commons.wikimedia.org/wiki/Special:FilePath/Screengrab%20of%20refugee%20camp%20from%20Number%20of%20Refugees%20Who%20Fled%20Sudan%20for%20Chad%20Double%20in%20Week.jpg,"A war between the Sudanese Armed Forces (SAF) and the paramilitary Rapid Support Forces (RSF), rival factions of the military government of Sudan, began on 15 April 2023, with the fighting concentrated around the capital city of Khartoum and the Darfur region. Later, a faction of the militant Sudan People's Liberation Movement–North (SPLM-N) led by Abdelaziz al-Hilu, also fought the SAF in regions bordering South Sudan and Ethiopia. As of 15 August 2023, between 4,000 and 10,000 people had been killed and 6,000 to 12,000 others injured, while as of 12 September 2023, over 4.1 million were internally displaced and more than 1.1 million others had fled the country as refugees.The war began with attacks by the RSF on government sites as airstrikes, artillery, and gunfire were reported across Sudan. Throughout the conflict, RSF leader Mohamed Hamdan ""Hemedti"" Dagalo and Sudan's de facto leader and army chief Abdel Fattah al-Burhan have disputed control of government sites in Khartoum, including the general military headquarters, the Presidential Palace, Khartoum International Airport, Burhan's official residence, and the SNBC headquarters, as well as states and towns in Darfur and Kordofan. The two sides were then joined by rebel groups who had previously fought against the two sides. Starting in June, the SPLM-N (al-Hilu) attacked army positions in the south of the country. In July, a faction of the Sudan Liberation Movement led by Mustafa Tambour (SLM-T) officially joined the war in support of the SAF, while in August, the rebel Tamazuj movement based in Darfur and Kordofan joined forces with the RSF.

",War in Sudan,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q117716414,War in Sudan,https://en.wikipedia.org/wiki/War_in_Sudan_(2023),"['Rapid Support Forces', ' Sudanese Armed Forces']",https://en.wikipedia.org/wiki/War_in_Sudan_(2023)
http://commons.wikimedia.org/wiki/Special:FilePath/Fronti%C3%A8re%20Maroc-Alg%C3%A9rie%201963.svg,"The Sand War (Arabic: حَرْبُ الرِّمَال, romanized: Ḥarb ar-Rimāl) was a border conflict between Algeria and Morocco fought from September 25, 1963 to October 30, 1963, although a formal peace treaty was not signed until February 20, 1964. It resulted largely from the Moroccan government's claim to portions of Algeria's Tindouf and Béchar provinces. The Sand War led to heightened tensions between the two countries for several decades.
Full-blown confrontation began on September 25, 1963 once Moroccan forces occupied the border towns of Hassi Beida and Tindjoub, beginning a battle with Algerian forces for control over the towns. In the north, Algeria opened a front near Ich, while Morocco launched an offensive towards Tindouf in the south. Cuban troops arrived in Algeria to prepare for an offensive into eastern Morocco, prompting Morocco to prepare for a second offensive towards Tindouf. However, both attacks were suspended, and a ceasefire was officially declared on October 30, 1963. This ceasefire marked the first multinational peacekeeping mission conducted by the Organisation of African Unity. A formal peace treaty was eventually signed on February 20, 1964.",Sand War,1963-10-01T00:00:00Z,http://www.wikidata.org/entity/Q1891008,,,"['Cuba', ' Algeria', ' Morocco', ' France', ' Egypt']",https://en.wikipedia.org/wiki/Sand_War
http://commons.wikimedia.org/wiki/Special:FilePath/Facial%20Chronicle%20-%20b.06%2C%20page%20085%20-%20Battle%20of%20the%20Ice.jpg,"The Livonian campaign against Rus' was a military campaign that lasted from 1240 to 1242, and was carried out by the Teutonic Knights of the Livonian Order with the aim to conquer the lands of Pskov and Novgorod and convert them to Catholicism.",Livonian campaign against Rus',1240-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4261059,,,"['Novgorod Republic', ' Grand Duchy of Vladimir', ' Livonian Order']",https://en.wikipedia.org/wiki/Livonian_campaign_against_Rus'
