date,participants,eventLabel,article_en,summary_wikipedia,image,event
1836-04-21T00:00:00Z,"['Republic of Texas', ' Centralist Republic of Mexico', ' Mexican Texas']",Texas Revolution,https://en.wikipedia.org/wiki/Texas_Revolution,"The Texas Revolution (October 2, 1835 – April 21, 1836) was a rebellion of colonists from the United States and Tejanos (Hispanic Texans) against the centralist government of Mexico in the Mexican state of Coahuila y Tejas. Although the uprising was part of a larger one, the Mexican Federalist War, that included other provinces opposed to the regime of President Antonio López de Santa Anna, the Mexican government believed the United States had instigated the Texas insurrection with the goal of annexation. The Mexican Congress passed the Tornel Decree, declaring that any foreigners fighting against Mexican troops ""will be deemed pirates and dealt with as such, being citizens of no nation presently at war with the Republic and fighting under no recognized flag"". Only the province of Texas succeeded in breaking with Mexico, establishing the Republic of Texas. It was eventually annexed by the United States.
The revolution began in October 1835, after a decade of political and cultural clashes between the Mexican government and the increasingly large population of Anglo-American settlers in Texas. The Mexican government had become increasingly centralized and the rights of its citizens had become increasingly curtailed, particularly regarding immigration from the United States. Mexico had officially abolished slavery in Texas in 1829, and the desire of Anglo Texans to maintain the institution of chattel slavery in Texas was also a major cause of secession. Colonists and Tejanos disagreed on whether the ultimate goal was independence or a return to the Mexican Constitution of 1824.  While delegates at the Consultation (provisional government) debated the war's motives, Texians and a flood of volunteers from the United States defeated the small garrisons of Mexican soldiers by mid-December 1835. The Consultation declined to declare independence and installed an interim government, whose infighting led to political paralysis and a dearth of effective governance in Texas.  An ill-conceived proposal to invade Matamoros siphoned much-needed volunteers and provisions from the fledgling Texian Army.  In March 1836, a second political convention declared independence and appointed leadership for the new Republic of Texas.
Determined to avenge Mexico's honor, Santa Anna vowed to personally retake Texas.  His Army of Operations entered Texas in mid-February 1836 and found the Texians completely unprepared. Mexican General José de Urrea led a contingent of troops on the Goliad Campaign up the Texas coast, defeating all Texian troops in his path and executing most of those who surrendered. Santa Anna led a larger force to San Antonio de Béxar (or Béxar), where his troops defeated the Texian garrison in the Battle of the Alamo, killing almost all of the defenders.
A newly created Texian army under the command of Sam Houston was constantly on the move, while terrified civilians fled with the army, in a melee known as the Runaway Scrape. On March 31, Houston paused his men at Groce's Landing on the Brazos River, and for the next two weeks, the Texians received rigorous military training. Becoming complacent and underestimating the strength of his foes, Santa Anna further subdivided his troops. On April 21, Houston's army staged a surprise assault on Santa Anna and his vanguard force at the Battle of San Jacinto. The Mexican troops were quickly routed, and vengeful Texians executed many who tried to surrender.  Santa Anna was taken hostage; in exchange for his life, he ordered the Mexican army to retreat south of the Rio Grande.  Mexico refused to recognize the Republic of Texas, and intermittent conflicts between the two countries continued into the 1840s.  The annexation of Texas as the 28th state of the United States, in 1845, led directly to the Mexican–American War.",http://commons.wikimedia.org/wiki/Special:FilePath/Sam%20Houston%20at%20San%20Jacinto.jpg,http://www.wikidata.org/entity/Q638530
1533-01-01T00:00:00Z,"['Mexico', ' Spain', ' United States of America', ' Crown of Castile', ' Yaqui people']",Yaqui Wars,https://en.wikipedia.org/wiki/Yaqui_Wars,"The Yaqui Wars, were a series of armed conflicts between New Spain, and its successor state, the Mexican Republic, against the Yaqui Natives. The period began in 1533 and lasted until 1929. The Yaqui Wars, along with the Caste War against the Maya, were the last conflicts of the centuries long Mexican Indian Wars. Over the course of nearly 400 years, the Spanish and the Mexicans repeatedly launched military campaigns into Yaqui territory which resulted in several serious battles and massacres.",http://commons.wikimedia.org/wiki/Special:FilePath/Uprising%20of%20Yaqui%20Indians%20Remington%201896.jpg,http://www.wikidata.org/entity/Q8049168
1664-09-06T00:00:00Z,"['Dutch Republic', ' Kingdom of England']",conquest of New Netherland,https://en.wikipedia.org/wiki/Conquest_of_New_Netherland,"The conquest of New Netherland occurred in 1664 as an English expedition led by Richard Nicolls that arrived in New York Harbor effected a peaceful capture of New Amsterdam, Fort Amsterdam and the Articles of Surrender of New Netherland were agreed. The conquest was mostly peaceful in the rest of the colony as well, except for some fighting in New Amstel.",http://commons.wikimedia.org/wiki/Special:FilePath/Stuyvesantcap.jpg,http://www.wikidata.org/entity/Q3153839
1649-01-01T00:00:00Z,"['Cavalier', ' Roundhead', ' David Leslie, 1st Lord Newark', ' Charles II of England', ' Covenanters', ' Oliver Cromwell']",Anglo-Scottish war (1650–1652),https://en.wikipedia.org/wiki/Anglo-Scottish_war_(1650–1652),,http://commons.wikimedia.org/wiki/Special:FilePath/Cromwell%20at%20Dunbar%20Andrew%20Carrick%20Gow.jpg,http://www.wikidata.org/entity/Q3540197
1351-01-01T00:00:00Z,,Castilian Civil War,https://en.wikipedia.org/wiki/Castilian_Civil_War,"The Castilian Civil War was a war of succession over the Crown of Castile that lasted from 1351 to 1369. The conflict started after the death of king Alfonso XI of Castile in March 1350. It became part of the larger conflict then raging between the Kingdom of England and the Kingdom of France: the Hundred Years' War. It was fought primarily in Castile and its coastal waters between the local and allied forces of the reigning king, Peter, and his illegitimate brother Henry of Trastámara over the right to the crown.",http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20najera%20froissart.jpg,http://www.wikidata.org/entity/Q1205962
1803-01-01T00:00:00Z,"['Pagaruyung Kingdom', ' Padri', ' adat', ' United Kingdom of the Netherlands']",Padri War,https://en.wikipedia.org/wiki/Padri_War,"The Padri War (also called the Minangkabau War) was fought from 1803 until 1837 in West Sumatra, Indonesia between the Padri and the Adat. The Padri were Muslim clerics from Sumatra who wanted to impose Sharia in Minangkabau country in West Sumatra, Indonesia.  The Adat comprised the Minangkabau nobility and traditional chiefs. They asked for the help of the Dutch, who intervened in 1821 and helped the nobility defeat the Padri faction.

",http://commons.wikimedia.org/wiki/Special:FilePath/Aftocht-van-de-bezetting-va.jpg,http://www.wikidata.org/entity/Q2725993
1932-09-09T00:00:00Z,"['Bolivia', ' Paraguay']",Chaco War,https://en.wikipedia.org/wiki/Chaco_War,"The Chaco War (Spanish: Guerra del Chaco, Guarani: Cháko Ñorairõ) was fought from 1932 to 1935 between Bolivia and Paraguay, over the control of the northern part of the Gran Chaco region (known in Spanish as Chaco Boreal) of South America, which was thought to be rich in oil. The war is also referred to as La Guerra de la Sed (Spanish for ""The War of Thirst"") in literary circles since it was fought in the semi-arid Chaco. The bloodiest interstate military conflict fought in South America in the 20th century, it was fought between two of its poorest countries, both of which had lost territory to neighbours in 19th-century wars.
During the war, both landlocked countries faced difficulties shipping arms and supplies through neighbouring countries. Bolivia, in particular, faced external trade problems and poor internal communications. Although Bolivia had lucrative mining income and a larger and better-equipped army, a series of factors turned the tide against it, and Paraguay controlled most of the disputed zone when the war had ended.
The peace treaties ultimately granted two-thirds of the disputed territories to Paraguay.",http://commons.wikimedia.org/wiki/Special:FilePath/Disputed%20Bolivia%20Paraguay.jpg,http://www.wikidata.org/entity/Q223126
1324-01-01T00:00:00Z,"['Kingdom of England', ' France in the Middle Ages']",War of Saint-Sardos,https://en.wikipedia.org/wiki/War_of_Saint-Sardos,,,http://www.wikidata.org/entity/Q676068
1256-01-01T00:00:00Z,['Holy Roman Empire'],Friso-Hollandic Wars,https://en.wikipedia.org/wiki/Friso-Hollandic_Wars,,,http://www.wikidata.org/entity/Q3312857
1838-01-01T00:00:00Z,"['United States of America', ' United Kingdom of Great Britain and Ireland']",Aroostook War,https://en.wikipedia.org/wiki/Aroostook_War,"The Aroostook War (sometimes called the Pork and Beans War), or the Madawaska War, was a military and civilian-involved confrontation in 1838–1839 between the United States and the United Kingdom over the international boundary between the British colony of New Brunswick and the U.S. state of Maine.  The term ""war"" was rhetorical; local militia units were called out but never engaged in actual combat. The event is best described as an international incident.
Negotiations between British diplomat Baron Ashburton and United States Secretary of State Daniel Webster settled the dispute. The Webster–Ashburton Treaty of 1842 established the final boundary between the countries, giving most of the disputed area to Maine while preserving an overland connection between Lower Canada and the Maritime colonies.

",http://commons.wikimedia.org/wiki/Special:FilePath/MaineBoundaryDispute.jpg,http://www.wikidata.org/entity/Q698312
0927-01-01T00:00:00Z,,Qarmatian invasion of Iraq,https://en.wikipedia.org/wiki/Qarmatian_invasion_of_Iraq,"The Qarmatian invasion of Iraq was a large-scale raid by the Qarmatians of Bahrayn against the Abbasid Caliphate's metropolitan region of Iraq, that began in autumn of 927 and continued until the summer of 928. 
The invasion was the culmination of a series of destructive raids against the Hajj caravans, and the sack of Basra and Kufa, during the previous years. Coming amidst a general political malaise in the Abbasid government, which appeared helpless to counter the Qarmatians, these attacks exacerbated the political tensions in Baghdad, leading to the downfall and execution of the vizier Ibn al-Furat. 
In October/November 927, the Qarmatian leader, Abu Tahir al-Jannabi, led a force of no more than 2,300 men to invade Iraq. In December, the Qarmatians captured Kufa and routed the much larger army of the semi-autonomous emir of Adharbayjan, Yusuf ibn Abi'l-Saj, who was captured. The Qarmatians then began to advance north along the Euphrates towards Baghdad, where a widespread panic broke out. An army of over 40,000 men was assembled to meet the threat, but the Abbasid commanders, Mu'nis al-Muzaffar and Abu'l-Hayja al-Hamdani, preferred to avoid combat and instead obstruct the Qarmatian advance by destroying the bridges and canals near the Abbasid capital. The resulting flooding brought the Qarmatian advance to a halt at the outskirts of the city on 7 January 928. The Qarmatians then withdrew again across the Euphrates and marched up the river into Upper Mesopotamia, plundering the region and securing ransom from its cities. Unopposed, the Qarmatians withdrew to their homes in the summer of 928. Their presence had led to uprisings by sympathizers, the so-called Baqliyya, in the Sawad of Kufa, but these were suppressed by the Abbasid authorities. The survivors of these uprisings joined the Qarmatians in their retreat to Bahrayn.
In the aftermath of the invasion, the Qarmatians sacked Mecca in January 930 and captured Oman in the same year, but internal troubles halted their advance. A young Persian who had been taken prisoner in Iraq, Abu'l-Fadl al-Isfahani, was recognized as the Mahdi by Abu Tahir, and power passed to him. His erratic behaviour, however, quickly made clear that he was not the millennialist figure expected by the Qarmatians, and he was murdered. The event demoralized the Qarmatians, who after that sought peaceful relations with the Abbasids. Nevertheless, the invasion of 927–928 severely deteriorated the financial and political situation in the Abbasid Caliphate, which descended into a vicious circle of military coups and internecine warfare among warlords, culminating in 946 with the takeover of Iraq by the Buyid dynasty.",http://commons.wikimedia.org/wiki/Special:FilePath/Iraq%20Ninth%20Century.png,http://www.wikidata.org/entity/Q111329728
1939-03-23T00:00:00Z,"['Kingdom of Hungary', ' Slovak Republic']",Slovak–Hungarian War,https://en.wikipedia.org/wiki/Slovak–Hungarian_War,,http://commons.wikimedia.org/wiki/Special:FilePath/Slovakia%20borderHungary.png,http://www.wikidata.org/entity/Q177109
1262-01-01T00:00:00Z,"['Ilkhanate', ' Golden Horde']",Berke–Hulagu war,https://en.wikipedia.org/wiki/Berke–Hulagu_war,"The Berke–Hulagu war was fought between two Mongol leaders, Berke Khan of the Golden Horde and Hulagu Khan of the Ilkhanate. It was fought mostly in the Caucasus Mountains area in the 1260s after the destruction of Baghdad in 1258. The war overlaps with the Toluid Civil War in the Mongol Empire between two members of the Tolui family line, Kublai Khan and Ariq Böke, who both claimed the title of Great Khan (Khagan). Kublai allied with Hulagu, while Ariq Böke sided with Berke. Hulagu headed to Mongolia for the election of a new Khagan to succeed Möngke Khan, but the loss of the Battle of Ain Jalut to the Mamluks forced him to withdraw back to the Middle East. The Mamluk victory emboldened Berke to invade the Ilkhanate. The Berke–Hulagu war and the Toluid Civil War as well as the subsequent Kaidu–Kublai war marked a key moment in the fragmentation of the Mongol empire after the death of Möngke, the fourth Great Khan of the Mongol Empire.

",http://commons.wikimedia.org/wiki/Special:FilePath/Bataille%20du%20Terek%20%281262%29.jpeg,http://www.wikidata.org/entity/Q4117235
1538-01-01T00:00:00Z,"['Ottoman Empire', ' Ethiopian Empire', ' Portuguese Empire', ' Gujarat Sultanate', ' Ormus', ' Adal Sultanate']",Ottoman–Portuguese conflicts of 1538–1560,https://en.wikipedia.org/wiki/Ottoman–Portuguese_conflicts_(1538–1560),,http://commons.wikimedia.org/wiki/Special:FilePath/Ottoman%20fleet%20Indian%20Ocean%2016th%20century.jpg,http://www.wikidata.org/entity/Q762191
1593-04-01T00:00:00Z,"['Celtic kingdom of Ireland', ' Habsburg Spain', ' Kingdom of Ireland', ' Kingdom of England']",Nine Years' War,https://en.wikipedia.org/wiki/Nine_Years'_War_(Ireland),"The Nine Years' War, sometimes called Tyrone's Rebellion, took place in Ireland from 1593 to 1603. It was fought between an Irish confederation—led mainly by Hugh O'Neill of Tyrone and Hugh Roe O'Donnell of Tyrconnell—against English rule in Ireland, and was a response to the ongoing Tudor conquest of Ireland. The war began in Ulster and northern Connacht, but eventually engulfed the entire island. The Irish alliance won numerous victories against the English forces in Ireland, such as the Battle of Clontibret (1595) and the Battle of the Yellow Ford (1598), but the English won a pivotal victory against the alliance and their Spanish allies in the siege of Kinsale (1601–02). The war ended with the Treaty of Mellifont (1603). Many of the defeated northern lords left Ireland to seek support for a new uprising in the Flight of the Earls (1607), never to return. This marked the end of Gaelic Ireland and led to the Plantation of Ulster.
The war against O'Neill and his allies was the largest conflict fought by England in the Elizabethan era. At the height of the conflict (1600–1601) more than 18,000 soldiers were fighting in the English army in Ireland. By contrast, the English army assisting the Dutch during the Eighty Years' War was never more than 12,000 strong at any one time.

",,http://www.wikidata.org/entity/Q1361354
1704-01-01T00:00:00Z,,First Javanese War of Succession,https://en.wikipedia.org/wiki/First_Javanese_War_of_Succession,"The First Javanese War of Succession was a struggle between Sultan Amangkurat III of Mataram and the Dutch East India Company who supported the claim of the Sultan's uncle, Pangeran Puger to the throne.
Amangkurat II died in 1703 and was briefly succeeded by his son, Amangkurat III. The Dutch believed they had found a more reliable client in  his uncle Pangeran Puger. Tensions increased when Amangkurat was accused of giving refuge to the rebel Surapati. Pangeran Puger accused Amangkurat before the Dutch of planning an uprising in East Java. Unlike Pangeran Puger, Amangkurat III inherited blood connection with Surabayan ruler, Jangrana II, from Amangkurat II and this lent credibility to the allegation that he cooperated with the now powerful Untung Surapati in Pasuruan. Panembahan Cakraningrat II of Madura, VOC’s most trusted ally, persuaded the Dutch to support Pangeran Puger. Pangeran Puger took the title of Pakubuwana I upon his accession in June 1704.
Together with the Dutch, Pakubuwono defeated Amangkurat who fled east and received refuge from Surapati who had set up his own kingdom. The war dragged on for five years before the Dutch managed to install Pakubuwana. In August 1705, Pakubuwono I’s retainers and VOC forces captured Kartasura without resistance from Amangkurat III, whose forces cowardly turned back when the enemy reached Ungaran. Surapati’s forces in Bangil, near Pasuruan, was crushed by the alliance of VOC, Kartasura and Madura in 1706.
Jangrana II, who tended to side with Amangkurat III and did not venture any assistance to the capture of Bangil, was called to present himself before Pakubuwana I and murdered there by VOC’s request in the same year. Amangkurat III ran away to Malang with Surapati’s descendants and his remnant forces but Malang was then a no-man’s-land who offered no glory fit for a king. Therefore, though allied operations to the eastern interior of Java in 1706–08 did not gain much success in military terms, the fallen king surrendered in 1708 after being lured with the promises of household (lungguh) and land, but he was banished to Ceylon along with his wives and children.",,http://www.wikidata.org/entity/Q2362089
2005-01-09T00:00:00Z,"['Anyanya II', ' Nuer White Army', "" Sudan People's Liberation Army"", ' South Sudan Defence Forces', ' Uganda', ' South Sudan Liberation Movement', ' SPLA-Nasir', ' Zaire', ' Eastern Front', ' Sudan']",2nd Sudanese Civil War,https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,"The Second Sudanese Civil War was a conflict from 1983 to 2005 between the central Sudanese government and the Sudan People's Liberation Army. It was largely a continuation of the First Sudanese Civil War of 1955 to 1972. Although it originated in southern Sudan, the civil war spread to the Nuba mountains and the Blue Nile.  It lasted for almost 22 years and is one of the longest civil wars on record.  The war resulted in the independence of South Sudan 6 years after the war ended.
Roughly two million people died as a result of war, famine and disease caused by the conflict. Four million people in southern Sudan were displaced at least once, normally repeatedly during the war. The civilian death toll is one of the highest of any war since World War II and was marked by numerous human rights violations, including slavery and mass killings.",http://commons.wikimedia.org/wiki/Special:FilePath/SouthernSudanMap.png,http://www.wikidata.org/entity/Q842380
1345-01-01T00:00:00Z,"['Kingdom of Poland', ' Kingdom of Bohemia']",Polish-Bohemian War (1345–1348),https://en.wikipedia.org/wiki/Polish–Bohemian_War_(1345–1348),,,http://www.wikidata.org/entity/Q54286075
